time,screenTemperature,maxScreenAirTemp,minScreenAirTemp,screenDewPointTemperature,feelsLikeTemperature,windSpeed10m,windDirectionFrom10m,windGustSpeed10m,max10mWindGust,visibility,screenRelativeHumidity,mslp,uvIndex,significantWeatherCode,precipitationRate,totalPrecipAmount,totalSnowAmount,probOfPrecipitation
2026-02-02T22:00Z,4.76,4.77,4.61,3.55,-0.25,8.28,95,12.86,12.86,5598,91.75,99920,0,8,0.0,0.0,0.0,10
2026-02-02T23:00Z,4.82,4.84,4.76,3.11,-0.03,7.83,99,12.86,13.02,7325,88.63,99893,0,8,0.0,0.0,0.0,11
2026-02-03T00:00Z,4.77,4.85,4.75,2.81,0.11,7.25,99,12.73,13.04,9249,87.02,99886,0,8,0.0,0.0,0.0,11
2026-02-03T01:00Z,4.78,4.85,4.76,2.66,0.01,7.62,102,13.47,13.52,10930,86.08,99861,0,8,0.0,0.0,0.0,11
2026-02-03T02:00Z,4.62,4.78,4.61,2.07,-0.3,7.87,102,13.74,13.74,12197,83.49,99840,0,8,0.0,0.0,0.0,10
2026-02-03T03:00Z,4.3,4.62,4.29,1.87,-0.85,8.31,102,14.32,14.32,12248,84.15,99800,0,8,0.0,0.0,0.0,10
2026-02-03T04:00Z,3.86,4.3,3.84,1.31,-1.59,8.83,97,15.1,15.1,12656,83.3,99780,0,8,0.0,0.0,0.0,10
2026-02-03T05:00Z,3.42,3.86,3.39,1.1,-2.21,8.95,96,15.26,15.49,11928,84.68,99792,0,8,0.0,0.0,0.0,10
2026-02-03T06:00Z,3.02,3.42,2.99,0.4,-2.73,8.95,94,15.19,15.43,11948,82.76,99785,0,8,0.0,0.0,0.0,10
2026-02-03T07:00Z,2.95,3.02,2.86,0.13,-2.78,8.8,95,14.97,15.09,11688,81.65,99801,0,8,0.0,0.0,0.0,10
2026-02-03T08:00Z,2.86,2.95,2.75,-0.05,-2.9,8.85,93,15.05,15.11,11349,81.09,99788,1,8,0.0,0.0,0.0,10
2026-02-03T09:00Z,2.9,2.92,2.86,0.22,-2.94,9.11,91,15.36,15.36,11405,82.53,99773,1,8,0.0,0.0,0.0,10
2026-02-03T10:00Z,2.96,2.99,2.9,0.26,-2.8,8.96,91,15.03,15.11,11287,82.35,99773,1,8,0.0,0.0,0.0,10
2026-02-03T11:00Z,3.04,3.08,2.96,0.27,-2.61,8.68,89,14.53,14.73,11849,81.99,99734,1,8,0.0,0.0,0.0,11
2026-02-03T12:00Z,2.92,3.04,2.83,0.33,-2.64,8.34,89,13.86,14.04,11471,82.92,99695,1,8,0.0,0.0,0.0,11
2026-02-03T13:00Z,2.98,3.02,2.88,0.64,-2.38,7.81,88,13.08,13.4,10780,84.54,99645,1,8,0.0,0.0,0.0,11
2026-02-03T14:00Z,3.09,3.12,2.98,0.42,-2.15,7.56,89,12.55,12.55,9676,82.6,99605,1,8,0.0,0.0,0.0,11
2026-02-03T15:00Z,3.21,3.24,3.09,0.6,-1.98,7.55,88,12.54,12.54,9413,82.94,99555,1,8,0.0,0.0,0.0,13
2026-02-03T16:00Z,3.27,3.29,3.21,0.99,-1.81,7.26,88,12.04,12.17,8333,85.08,99526,1,8,0.0,0.0,0.0,17
2026-02-03T17:00Z,3.39,3.41,3.27,1.21,-1.59,7.1,92,11.79,11.79,7291,85.76,99497,0,12,0.29,0.11,0.0,54
2026-02-03T18:00Z,3.54,3.61,3.39,1.87,-1.21,6.66,95,11.2,11.29,6542,89.08,99459,0,12,0.45,0.46,0.0,58
2026-02-03T19:00Z,3.77,3.79,3.54,2.09,-0.67,6.09,97,10.72,10.72,5702,89.15,99440,0,12,0.66,0.42,0.0,58
2026-02-03T20:00Z,4.0,4.03,3.77,2.58,-0.32,5.98,99,10.59,10.59,4994,90.96,99411,0,12,0.7,0.6,0.0,59
2026-02-03T21:00Z,4.13,4.15,4.0,2.98,-0.23,6.12,99,10.71,10.71,5007,92.79,99391,0,12,0.56,0.44,0.0,59
2026-02-03T22:00Z,4.27,4.28,4.13,3.37,-0.04,6.08,99,10.62,10.62,4482,94.47,99362,0,12,0.44,0.33,0.0,58
2026-02-03T23:00Z,4.39,4.4,4.27,3.47,0.21,5.89,99,10.37,10.61,6118,94.21,99333,0,12,0.37,0.17,0.0,57
2026-02-04T00:00Z,4.52,4.55,4.39,3.58,0.59,5.45,102,9.77,10.24,6069,94.05,99304,0,12,0.4,0.14,0.0,57
2026-02-04T01:00Z,4.59,4.61,4.52,3.9,0.91,5.0,104,9.0,9.44,4788,95.77,99274,0,12,0.39,0.22,0.0,58
2026-02-04T02:00Z,4.7,4.71,4.59,4.1,1.42,4.33,107,7.61,8.47,4892,96.38,99254,0,12,0.23,0.17,0.0,56
2026-02-04T03:00Z,4.74,4.76,4.7,4.23,2.01,3.57,134,6.23,6.47,4680,96.98,99224,0,12,0.1,0.09,0.0,46
2026-02-04T04:00Z,4.65,4.74,4.63,4.07,2.18,3.19,141,5.55,5.55,5465,96.48,99205,0,12,0.19,0.07,0.0,45
2026-02-04T05:00Z,4.62,4.67,4.61,4.04,2.27,2.99,155,5.38,5.38,7711,96.39,99214,0,8,0.0,0.0,0.0,16
2026-02-04T06:00Z,4.51,4.62,4.49,3.95,2.25,2.77,161,5.33,5.33,6761,96.58,99222,0,8,0.0,0.0,0.0,14
2026-02-04T07:00Z,4.69,4.7,4.51,4.1,2.34,2.92,162,5.58,6.51,7926,96.38,99262,0,8,0.0,0.0,0.0,14
2026-02-04T08:00Z,4.86,4.87,4.69,4.34,2.63,2.82,156,5.51,6.66,8053,96.71,99302,1,8,0.0,0.0,0.0,13
2026-02-04T09:00Z,5.12,5.16,4.86,4.45,2.91,2.83,151,5.33,5.84,9359,95.71,99341,1,8,0.0,0.0,0.0,17
2026-02-04T10:00Z,5.76,5.77,5.12,5.03,3.23,3.42,140,5.96,5.96,9479,95.4,99362,1,8,0.0,0.0,0.0,24
2026-02-04T11:00Z,6.41,6.42,5.76,5.4,3.83,3.69,140,6.25,6.25,14135,93.62,99382,1,8,0.0,0.0,0.0,10
2026-02-04T12:00Z,6.76,6.77,6.41,5.67,4.04,4.05,134,6.86,6.86,15331,93.07,99403,1,8,0.0,0.0,0.0,10
2026-02-04T13:00Z,7.03,7.09,6.76,5.76,4.43,3.96,127,6.71,6.71,16013,91.93,99376,1,8,0.0,0.0,0.0,9
2026-02-04T14:00Z,6.79,7.03,6.72,5.6,3.92,4.38,120,7.48,7.48,15027,92.48,99376,1,8,0.0,0.0,0.0,9
2026-02-04T15:00Z,6.9,6.98,6.79,5.66,3.89,4.7,113,8.62,10.34,15555,92.14,99366,1,8,0.0,0.0,0.0,10
2026-02-04T16:00Z,6.62,6.9,6.57,5.35,3.3,5.29,115,9.36,11.75,17965,92.02,99394,1,8,0.0,0.0,0.0,9
2026-02-04T17:00Z,6.15,6.62,6.15,5.18,2.63,5.54,113,9.86,11.72,17666,93.89,99395,0,8,0.0,0.0,0.0,9
2026-02-04T18:00Z,5.86,6.15,5.77,4.99,2.09,6.02,110,10.4,12.6,17392,94.44,99396,0,8,0.0,0.0,0.0,9
2026-02-04T19:00Z,5.58,5.86,5.58,4.88,1.62,6.3,108,10.25,11.0,15794,95.73,99406,0,8,0.0,0.0,0.0,10
2026-02-04T20:00Z,5.42,5.58,5.42,4.59,1.22,6.77,108,10.98,12.6,17044,94.94,99407,0,8,0.0,0.0,0.0,10
2026-02-04T21:00Z,5.25,,,4.43,0.94,6.93,106,11.21,,15788,94.94,99408,0,8,0.0,,,10
2026-02-04T22:00Z,5.15,,,4.21,0.76,7.04,105,11.34,,16368,94.18,99390,0,8,0.0,,,10
