feature,importance
ND_lag_24h,0.39404505
ND_lag_168h,0.23350719
ND_lag_48h,0.13645495
is_weekend,0.040909745
day_of_week,0.024154771
ND_lag_72h,0.019261904
hour_cos,0.015976323
hour,0.015802376
hour_sin,0.012082785
month_cos,0.0071665575
ND_rstd_168h,0.0038141035
ND_rmean_168h,0.0038111564
ND_rmean_24h,0.003618834
day_of_year,0.0035778412
Temp_Wales_North_Gwynedd_lag_24h,0.0034730525
month_sin,0.0034293295
Temp_Eng_North_Cumbria_lag_24h,0.003247638
Solar_Eng_South_Cornwall_lag_24h,0.0029618044
Temp_Eng_South_Cornwall_lag_24h,0.0029557478
Solar_Eng_South_Kent_lag_24h,0.0026597148
Temp_Eng_South_Bristol_lag_24h,0.0026352995
Solar_Eng_South_Hampshire_lag_24h,0.0026296573
Solar_Eng_East_Suffolk_lag_24h,0.0026144106
Solar_Eng_South_Bristol_lag_24h,0.0025037264
month,0.002472789
ND_rmean_48h,0.0024110065
Temp_Eng_Manchester_lag_24h,0.0023802489
Solar_Eng_East_Norfolk_lag_24h,0.0023637707
Temp_Wales_South_Cardiff_lag_24h,0.0023529811
Temp_Eng_West_Midlands_lag_24h,0.0022918815
Temp_Scot_Edinburgh_East_lag_24h,0.0021297922
Temp_Scot_Glasgow_West_lag_24h,0.002120573
Solar_Eng_London_lag_24h,0.0021104116
Solar_Eng_East_Midlands_lag_24h,0.002072675
ND_rstd_48h,0.0018684221
ND_rstd_24h,0.0018510347
Temp_Scot_Highlands_lag_24h,0.0018166354
Wind10m_Eng_Yorkshire_lag_24h,0.0017565475
Temp_Eng_North_Tyne_lag_24h,0.0017502572
Temp_Eng_South_Hampshire_lag_24h,0.0017418837
Temp_Scot_Borders_lag_24h,0.0017158674
Wind10m_Scot_Borders_lag_24h,0.0016892753
Temp_Eng_East_Suffolk_lag_24h,0.0016709745
Temp_Eng_East_Midlands_lag_24h,0.0016317363
Temp_Eng_London_lag_24h,0.0015876436
Temp_Eng_South_Kent_lag_24h,0.0015725116
Temp_Scot_Aberdeenshire_lag_24h,0.0015572733
Temp_Eng_Yorkshire_lag_24h,0.0015437228
Wind10m_Eng_East_Norfolk_lag_24h,0.0015313426
Wind10m_Eng_North_Cumbria_lag_24h,0.001526857
Wind10m_Wales_North_Gwynedd_lag_24h,0.0014865366
Wind10m_Eng_East_Suffolk_lag_24h,0.0014773089
Wind10m_Scot_Aberdeenshire_lag_24h,0.0014525359
Wind10m_Scot_Highlands_lag_24h,0.0013959688
Temp_Eng_East_Norfolk_lag_24h,0.0013756347
