Feature,Importance_Score_MAE_Increase
Wind10m_Scot_Aberdeenshire,-0.0003661451345791378
Wind10m_Eng_East_Norfolk,-0.00021721613915225146
Wind10m_Eng_East_Suffolk,-0.00020839735298371076
Temp_Eng_North_Cumbria,-0.00012031526029501749
lag_12,-0.00010414548702150639
Temp_Scot_Borders,-8.356100650893511e-05
Temp_Wales_North_Gwynedd,-4.264537371457405e-05
Temp_Scot_Aberdeenshire,-4.044270113794102e-05
Temp_Eng_West_Midlands,-3.854752947319434e-05
Temp_Eng_South_Kent,-3.152934740471153e-05
Temp_Eng_North_Tyne,-2.3757598084546416e-05
Wind10m_Scot_Highlands,-2.622286091706616e-06
Temp_Scot_Highlands,-8.736353714483558e-07
Wind10m_Scot_Borders,1.0796139876922961e-05
Temp_Eng_Manchester,0.00011109962048677646
Temp_Eng_East_Midlands,0.00016975560609631263
Temp_Eng_Yorkshire,0.0001902281716661472
Wind10m_Eng_Yorkshire,0.00019037617878780305
Temp_Eng_London,0.00020737757849680766
Temp_Scot_Glasgow_West,0.0002706741945093516
Temp_Eng_East_Suffolk,0.000290524180346384
Wind10m_Eng_North_Cumbria,0.0003410151279406859
Temp_Eng_South_Hampshire,0.0003757782291356204
Temp_Eng_South_Bristol,0.00039136693444402626
Temp_Scot_Edinburgh_East,0.0004383910272893754
Temp_Wales_South_Cardiff,0.00047870188343090286
Temp_Eng_South_Cornwall,0.0006215106535349679
Temp_Eng_East_Norfolk,0.0007553657831087732
Wind10m_Wales_North_Gwynedd,0.0012785364107571265
Solar_Eng_East_Norfolk,0.001469654262023383
Solar_Eng_East_Suffolk,0.0019428141266469717
Solar_Eng_East_Midlands,0.0023804670246082432
Solar_Eng_South_Hampshire,0.00239553488829803
Solar_Eng_London,0.0029451069442690825
Solar_Eng_South_Bristol,0.003396788238672052
Solar_Eng_South_Kent,0.0036531363476318135
Solar_Eng_South_Cornwall,0.006049008046214319
lag_6,0.006857597466135297
lag_3m,0.009304073075022616
lag_3,0.011361575760629614
lag_48,0.011870106410869122
lag_8760,0.04130797238342778
lag_24,0.04839913822166921
