gsp_id,Name,Latitude,Longitude,ctyua_name,region_label
1,Abham,50.472,-3.729,,
10,Arbroath,56.564,-2.619,Angus,
100,Ealing,51.502,-0.297,Ealing,Eng_London
101,Eaton Socon,52.215,-0.303,Bedford,
102,Eccles,55.668,-2.328,Scottish Borders,Scot_Borders
103,East Claydon,51.927,-0.908,Buckinghamshire,
104,Easterhouse,55.879,-4.073,North Lanarkshire,
105,East Kilbride,55.785,-4.192,South Lanarkshire,
106,East Kilbride South,55.74,-4.161,South Lanarkshire,
107,Elderslie,55.84,-4.463,Renfrewshire,
108,Elgin,57.662,-3.317,Moray,
109,Elland,53.695,-1.823,Calderdale,Eng_Yorkshire
11,Ardkinglas,56.287,-4.956,,
11,Clachan,56.277,-4.922,,
110,Elstree,51.66,-0.342,Hertfordshire,
111,Enderby,52.598,-1.215,Leicestershire,Eng_East_Midlands
112,Erskine,55.904,-4.481,Renfrewshire,
113,Exeter,50.767,-3.406,,
114,Fasnakyle,57.323,-4.789,,
115,Fort Augustus,57.137,-4.715,,
116,Fawley,50.821,-1.33,,
117,Feckenham,52.252,-1.972,Worcestershire,Eng_West_Midlands
118,Ferrybridge A,53.72,-1.273,North Yorkshire,Eng_Yorkshire
119,Ferrybridge B,53.722,-1.278,Wakefield,Eng_Yorkshire
12,Ardmore,57.554,-6.645,,
120,Fetteresso,56.965,-2.347,Aberdeenshire,Scot_Aberdeenshire
120,Kintore,57.213,-2.374,Aberdeenshire,Scot_Aberdeenshire
120,Rothienorman,57.404,-2.518,Aberdeenshire,Scot_Aberdeenshire
121,Fiddes,56.921,-2.292,Aberdeenshire,Scot_Aberdeenshire
122,Fiddlers Ferry (Cuerdley 132kV),53.372,-2.688,Warrington,
123,Finnieston,55.863,-4.286,Glasgow City,Scot_Glasgow_West
124,Fourstones,55.012,-2.163,,
125,Fraserburgh,57.686,-2.024,Aberdeenshire,Scot_Aberdeenshire
126,Frodsham,53.309,-2.717,Cheshire West and Chester,
127,Fort William,56.819,-5.074,,
128,Galashiels,55.608,-2.767,Scottish Borders,Scot_Borders
129,Giffnock,55.798,-4.298,East Renfrewshire,
13,Axminster,50.787,-2.924,,
130,Glenluce,54.877,-4.798,,
131,Glenniston,56.108,-3.267,Fife,
132,Glenrothes,56.204,-3.196,Fife,
133,Gorgie,55.935,-3.235,City of Edinburgh,Scot_Edinburgh_East
134,Govan,55.854,-4.314,Glasgow City,Scot_Glasgow_West
135,Grendon,52.243,-0.726,North Northamptonshire,Eng_East_Midlands
136,Grimsby West,53.566,-0.151,North East Lincolnshire,Eng_Yorkshire
138,Grudie Bridge,57.615,-4.83,,
14,Ayr,55.457,-4.587,,
141,Haggs Road,55.83,-4.296,Glasgow City,Scot_Glasgow_West
142,Hams Hall (Lea Marston 132kV),52.529,-1.709,Warwickshire,Eng_West_Midlands
144,Hartmoor,54.701,-1.291,Hartlepool,
145,Hawick,55.428,-2.791,Scottish Borders,Scot_Borders
146,Hawthorn Pit,54.806,-1.402,County Durham,
147,Helensburgh,56.02,-4.701,,
148,Heysham (Barrow),54.033,-2.889,Lancashire,
