Actual_Train,Predicted_Train
27436.0,27251.93254056573
26957.5,26787.510986685753
25859.0,25766.31014508009
25145.5,25108.187444627285
24515.5,25336.779728263617
25284.5,26310.80624805391
27548.0,28057.0537006855
29933.0,30489.616593569517
32505.0,33011.25645303726
34946.5,35003.4462493062
35704.0,35784.4185205102
36343.0,35453.43912267685
36906.0,35834.26609656215
36857.5,35938.55944287777
36984.0,37051.37167331576
38563.5,38360.47658076882
40957.5,40356.86284464598
42639.5,41092.841736257076
41573.0,40783.366527199745
38697.5,39849.050879091024
35833.0,37829.91783091426
33026.5,34976.60933679342
30714.5,31257.810414135456
28975.0,28187.59810821712
28427.5,26796.307617753744
27335.5,26161.11878016591
25682.5,25282.94639414549
24464.0,25198.26478922367
23601.5,25182.919423744082
23394.5,25583.02632072568
24258.5,26819.865732252598
25153.5,28953.153136387467
26290.5,31163.447985768318
28808.0,33194.028272897005
31225.0,33913.21538633108
33058.5,33775.86033439636
34473.0,34097.69060575962
34943.5,34888.62136438489
35053.0,35787.21091425419
35740.5,37320.926285773516
38464.0,38701.770899921656
39784.5,39618.2038064301
38191.0,39381.83890071511
35667.0,38501.96508437395
33450.0,36429.82972475886
31192.0,32977.56458804011
28986.5,29356.562462359667
26240.0,27048.24336785078
25788.0,26206.122990623116
25322.0,25561.720041379333
24379.5,24307.231244146824
23656.0,23863.419840425253
23056.5,24000.993478894234
23426.0,24500.57595682144
24985.0,25479.918461740017
26663.5,26942.271237567067
28846.0,28725.85858722031
31356.0,31026.585245847702
32696.5,32299.428419589996
33593.0,32322.905794918537
34789.5,33123.16882008314
35471.5,34365.93566825986
35874.5,34859.685233443975
36842.0,36392.96933963895
39698.5,38683.58686336875
41539.5,39552.69480058551
40232.0,38869.44449493289
38027.5,38133.319878965616
35470.5,35927.909749388695
32927.5,32875.70720157027
30042.0,29508.170931726694
27300.0,26749.795947909355
26557.0,25963.74793983996
25931.5,25227.53864620626
24856.0,24257.180835545063
23887.0,23871.196401000023
23045.5,24077.96055455506
22991.5,24842.46597351134
24081.0,26300.346587002277
25490.0,28364.62070837617
27558.0,30330.905046463013
30756.5,32284.940661638975
33089.5,32973.88012492657
34319.0,33231.22933793068
35353.0,33962.111815571785
35711.5,34374.74411481619
36277.5,35318.7780020833
37802.5,36798.51037663221
41120.5,38721.30584064126
42525.0,40049.77830272913
40809.5,40111.21687284112
37727.5,39873.80629640818
35105.0,37359.92330503464
32216.0,33627.27663004398
29267.5,29594.299933969975
26359.0,26955.21608966589
25846.5,26153.223080083728
25675.5,25357.602557212114
24607.5,24239.09919989109
24072.0,24023.460629969835
23795.5,24507.753865987062
24918.5,25148.436905652285
28850.5,26298.68257239461
33334.0,27837.64894385636
37075.5,29895.455069988966
39282.5,32781.6263756752
39853.0,35536.387789309025
40498.0,37231.0852509439
41060.0,37972.493359446526
41643.5,38126.498403698206
41695.5,38398.75088599324
41818.5,39387.14011648297
43931.5,41333.18846154213
44913.5,41859.19627913833
44005.5,40714.562969356775
41640.5,38596.8375479877
38217.0,35805.367381334305
35316.5,32612.89726370573
31635.5,29492.08709822595
28356.0,27037.652751803398
27614.0,26119.33822877705
27163.5,25393.93026073277
26484.0,24469.067987918854
25947.0,24211.91176122427
25653.0,24724.65275466442
26609.0,26277.677588000894
30447.5,29696.243967354298
34866.0,34609.305189311504
38602.0,37300.52487590909
40181.0,38807.54905927181
40252.5,38787.13386467099
40276.0,39187.16888409853
40554.5,39096.98913860321
41076.5,38932.03507515788
41370.0,39467.325928092
42365.0,40389.80048763752
44200.0,42401.058512836695
44715.0,43460.08860960603
44180.5,43240.206310123205
42238.0,42138.77830269933
39705.5,39016.998282551765
36179.5,35547.71884262562
32503.5,31536.709108620882
29320.0,28686.134915426373
28769.0,27616.03567533195
28618.0,26822.1697524786
27740.0,25959.535718247294
27042.5,25907.715940266848
26737.0,26242.602326244116
27919.5,27400.831324607134
32007.0,30713.289695560932
36936.0,34575.20568996668
40505.5,36871.429662913084
41355.0,38498.400745391846
41770.0,39387.012115359306
42252.0,39652.458876371384
42398.0,39738.664679288864
42005.5,39120.46257543564
41855.5,40289.57166931033
43078.5,41748.72934016585
44468.0,43032.46639415622
45978.0,43429.94336035848
45436.0,43013.41194996238
43605.5,41697.40679731965
40947.0,39525.01701915264
37546.5,36287.88238635659
33790.5,32640.998433470726
30194.0,29765.047525197268
29611.5,28625.56576833129
29276.0,28016.883009582758
28472.5,27164.98433113098
